"code_lac" "camp_annee" "nb_id_campagne" "nb_id_point_prelev" "nb_id_prelev_poisson"
"ABB39" "2010" "1" "24" "24"
"ABB39" "2014" "1" "24" "24"
"AIG15" "2010" "1" "56" "56"
"AIG15" "2017" "1" "58" "58"
"AIG73" "2009" "1" "58" "58"
"AIG73" "2014" "1" "58" "58"
"AIL02" "2010" "1" "16" "16"
"ALE2B" "2008" "1" "32" "32"
"ALE2B" "2016" "1" "32" "32"
"ALL01" "2010" "1" "32" "32"
"ALL04" "2006" "1" "32" "32"
"ALZ81" "2011" "1" "32" "32"
"ALZ81" "2017" "1" "32" "32"
"AMA10" "2011" "1" "32" "32"
"AMA10" "2017" "1" "32" "32"
"ANG85" "2008" "1" "16" "16"
"ANG85" "2011" "1" "16" "16"
"ANN74" "2007" "1" "64" "64"
"ANN74" "2009" "1" "8" "8"
"ANN74" "2010" "1" "66" "66"
"ANN74" "2012" "2" "34" "34"
"ANN74" "2016" "1" "64" "64"
"ANS69" "2011" "1" "24" "24"
"ANS69" "2017" "1" "24" "24"
"ANT74" "2007" "1" "16" "16"
"APR85" "2007" "1" "16" "16"
"ARD62" "2011" "1" "8" "8"
"ARD62" "2018" "1" "8" "8"
"ARG19" "2016" "1" "24" "24"
"ARJ40" "2013" "1" "40" "40"
"ARZ56" "2007" "1" "32" "32"
"AST32" "2010" "1" "24" "24"
"AST32" "2017" "1" "24" "24"
"AUD62" "2009" "1" "8" "8"
"AUD62" "2016" "1" "8" "8"
"AUL13" "2011" "1" "16" "16"
"AUL13" "2015" "1" "16" "16"
"AUM44" "2008" "1" "16" "16"
"AUR40" "2008" "1" "24" "24"
"AUR40" "2015" "1" "24" "24"
"AVE34" "2009" "1" "40" "40"
"AYD63" "2005" "1" "24" "24"
"AYD63" "2011" "1" "24" "24"
"AYD63" "2017" "1" "24" "24"
"AYG64" "2011" "1" "24" "24"
"AYG64" "2016" "1" "24" "24"
"BAG12" "2011" "1" "16" "16"
"BAG12" "2017" "1" "16" "16"
"BAI08" "2008" "1" "16" "16"
"BAI08" "2014" "1" "16" "16"
"BAR01" "2007" "1" "16" "16"
"BAR32" "2011" "1" "16" "16"
"BAR32" "2017" "1" "8" "8"
"BCL12" "2010" "1" "40" "40"
"BCL12" "2016" "1" "40" "40"
"BCM65" "2014" "1" "24" "24"
"BDB40" "2010" "1" "24" "24"
"BDB40" "2016" "1" "24" "24"
"BGP77" "2009" "1" "16" "16"
"BIM13" "2007" "1" "32" "32"
"BIM13" "2013" "1" "32" "32"
"BIM13" "2015" "1" "32" "32"
"BIS40" "2008" "1" "16" "16"
"BIS40" "2015" "1" "16" "16"
"BLA40" "2008" "1" "8" "8"
"BLC19" "2013" "1" "24" "24"
"BLC19" "2018" "1" "24" "24"
"BMC16" "2010" "1" "32" "32"
"BMC16" "2018" "1" "32" "32"
"BMS40" "2009" "1" "16" "16"
"BMS40" "2016" "1" "16" "16"
"BOR33" "2008" "1" "32" "32"
"BOR33" "2017" "1" "32" "32"
"BOR63" "2005" "1" "4" "4"
"BOU27" "2012" "1" "24" "24"
"BOU33" "2013" "1" "24" "24"
"BOU43" "2005" "1" "24" "24"
"BOU63" "2005" "1" "4" "4"
"BOU73" "2010" "1" "64" "64"
"BOU73" "2016" "1" "64" "64"
"BOU88" "2010" "1" "24" "24"
"BOU88" "2016" "1" "16" "16"
"BOU89" "2010" "1" "24" "24"
"BOU89" "2017" "1" "24" "24"
"BRA47" "2015" "1" "24" "24"
"BSA58" "2009" "1" "24" "24"
"BSA58" "2017" "1" "24" "24"
"BSF31" "2011" "1" "32" "32"
"BSF31" "2018" "1" "32" "32"
"BSJ32" "2011" "1" "8" "8"
"BSJ32" "2017" "1" "8" "8"
"BUL85" "2007" "1" "25" "25"
"CAL2B" "2010" "1" "40" "40"
"CAL2B" "2014" "1" "40" "40"
"CAN32" "2011" "1" "16" "16"
"CAN32" "2017" "1" "8" "8"
"CAN77a" "2008" "1" "8" "8"
"CAN77a" "2013" "1" "8" "8"
"CAN77b" "2008" "1" "8" "8"
"CAN77b" "2013" "1" "8" "8"
"CAN77c" "2008" "1" "16" "16"
"CAN77c" "2013" "1" "16" "16"
"CAR35" "2010" "1" "8" "8"
"CAR66" "2009" "1" "40" "40"
"CAR83" "2008" "1" "24" "24"
"CAS04" "2010" "1" "58" "58"
"CAS04" "2015" "1" "58" "58"
"CAS63" "2005" "1" "4" "4"
"CAS63" "2012" "1" "8" "8"
"CAU19" "2012" "1" "24" "24"
"CAU19" "2016" "1" "16" "16"
"CAZ40" "2005" "1" "51" "51"
"CAZ40" "2015" "1" "56" "56"
"CEB79" "2009" "1" "24" "24"
"CEB79" "2014" "1" "28" "28"
"CER21" "2009" "1" "24" "24"
"CER95" "2010" "1" "16" "16"
"CHA21" "2008" "1" "16" "16"
"CHA21" "2014" "1" "16" "16"
"CHA23" "2006" "1" "24" "24"
"CHA25" "2010" "1" "40" "40"
"CHA38" "2010" "1" "40" "40"
"CHA38" "2018" "1" "40" "40"
"CHA39" "2007" "1" "40" "40"
"CHA39" "2011" "1" "40" "40"
"CHA39" "2017" "1" "40" "40"
"CHA48" "2010" "1" "24" "24"
"CHA48" "2016" "1" "24" "24"
"CHA52" "2010" "1" "24" "24"
"CHA52" "2016" "1" "24" "24"
"CHA58" "2009" "1" "41" "41"
"CHA63" "2005" "1" "16" "16"
"CHA63" "2012" "1" "16" "16"
"CHA63" "2018" "1" "16" "16"
"CHA86" "2006" "1" "16" "16"
"CHO04" "2012" "1" "32" "32"
"COD2B" "2008" "1" "32" "32"
"COD2B" "2018" "1" "32" "32"
"COI39" "2010" "1" "50" "50"
"COM23" "2012" "1" "16" "16"
"CRE89" "2011" "1" "40" "40"
"CRE89" "2017" "1" "40" "40"
"DEV07" "2018" "1" "16" "16"
"DRE29" "2012" "1" "32" "32"
"DUC56" "2008" "1" "16" "16"
"ECH33" "2007" "1" "32" "32"
"ECH33" "2014" "1" "32" "32"
"ECL28" "2012" "1" "16" "16"
"EGU36" "2011" "1" "48" "48"
"ENC15" "2010" "1" "58" "58"
"ENC15" "2016" "1" "58" "58"
"ENT13" "2007" "1" "24" "24"
"ENT25" "2008" "1" "24" "24"
"ENT25" "2014" "1" "24" "24"
"EPT35" "2010" "1" "8" "8"
"ESP04" "2010" "1" "50" "50"
"ESP04" "2014" "1" "50" "50"
"EST11" "2010" "1" "48" "48"
"EST11" "2018" "1" "48" "48"
"ETI39" "2005" "1" "8" "8"
"EVJ59" "2008" "1" "24" "24"
"EVJ59" "2013" "1" "24" "24"
"FEY19" "2008" "1" "8" "8"
"FEY19" "2016" "1" "8" "8"
"FIG2A" "2009" "1" "32" "32"
"FIG2A" "2015" "1" "32" "32"
"FIL09" "2005" "1" "24" "24"
"FIL09" "2015" "1" "24" "24"
"FOR35" "2008" "1" "16" "16"
"GAB64" "2012" "1" "40" "40"
"GAB64" "2017" "1" "32" "32"
"GAR09" "2012" "1" "24" "24"
"GAR09" "2018" "1" "24" "24"
"GAS14" "2011" "1" "24" "24"
"GAU65" "2006" "1" "16" "16"
"GBB43" "2010" "1" "4" "4"
"GDL44" "2008" "1" "11" "11"
"GDL44" "2016" "1" "24" "24"
"GEB69" "2009" "1" "24" "24"
"GEB69" "2015" "1" "24" "24"
"GEN82" "2012" "1" "16" "16"
"GEN82" "2018" "1" "16" "16"
"GER88" "2011" "1" "40" "40"
"GER88" "2017" "1" "40" "40"
"GIO40" "2011" "1" "24" "24"
"GIO40" "2016" "1" "24" "24"
"GLC39" "2009" "1" "32" "32"
"GLC39" "2015" "1" "32" "32"
"GON57" "2012" "1" "24" "24"
"GON57" "2018" "1" "24" "24"
"GOU03" "2009" "1" "16" "16"
"GOU03" "2015" "1" "16" "16"
"GOU22" "2009" "1" "32" "32"
"GOU82" "2011" "1" "16" "16"
"GOU82" "2017" "1" "16" "16"
"GRA15" "2009" "1" "58" "58"
"GRA15" "2014" "1" "58" "58"
"GRA42" "2006" "1" "51" "51"
"GRA42" "2013" "1" "50" "50"
"GRA85" "2009" "1" "24" "24"
"GRA85" "2011" "1" "24" "24"
"GRO21b" "2012" "1" "24" "24"
"GUE22" "2013" "1" "48" "48"
"HAG40" "2010" "1" "24" "24"
"HAG40" "2017" "1" "24" "24"
"HAR22" "2009" "1" "8" "8"
"HAU19" "2011" "1" "40" "40"
"ILA39" "2009" "1" "32" "32"
"ILA39" "2016" "1" "32" "32"
"ISS07" "2005" "1" "40" "40"
"ISS07" "2009" "1" "40" "40"
"ISS07" "2017" "1" "40" "40"
"JAB77" "2011" "1" "24" "24"
"JOU11" "2008" "1" "16" "16"
"JOU11" "2014" "1" "16" "16"
"JUG22" "2008" "1" "16" "16"
"LAC33" "2012" "1" "32" "32"
"LAD16" "2010" "1" "8" "8"
"LAF38" "2009" "1" "40" "40"
"LAF38" "2015" "1" "40" "40"
"LAO81" "2005" "1" "45" "45"
"LAO81" "2013" "1" "40" "40"
"LAO81" "2018" "1" "40" "40"
"LAR31" "2010" "1" "8" "8"
"LAR31" "2015" "1" "8" "8"
"LAS15" "2016" "1" "32" "32"
"LAT10" "2006" "1" "42" "42"
"LAT10" "2013" "1" "40" "40"
"LAU38" "2018" "1" "17" "17"
"LAV16" "2011" "1" "16" "16"
"LAV16" "2018" "1" "32" "32"
"LAV23" "2011" "1" "32" "32"
"LAV43" "2012" "1" "26" "26"
"LDC21" "2008" "1" "16" "16"
"LDC25" "2007" "1" "32" "32"
"LDC25" "2013" "1" "32" "32"
"LDC51" "2012" "1" "32" "32"
"LDC51" "2018" "1" "32" "32"
"LDC63" "2013" "1" "40" "40"
"LEJ85" "2009" "1" "24" "24"
"LEJ85" "2011" "1" "16" "16"
"LEM74" "2010" "1" "68" "68"
"LEM74" "2012" "1" "9" "9"
"LEM74" "2015" "2" "22" "22"
"LEM74" "2016" "1" "59" "59"
"LEM85" "2009" "1" "24" "24"
"LEM85" "2011" "1" "24" "24"
"LEO40" "2009" "1" "24" "24"
"LEO40" "2015" "1" "24" "24"
"LER27a" "2009" "1" "24" "24"
"LER27a" "2013" "1" "24" "24"
"LES24" "2011" "1" "16" "16"
"LES24" "2017" "1" "24" "24"
