"cd.lac" "camp.annee" "taxon" "lat_plando" "long_plando"
"ABB39" 2010 "Esox lucius" 46.5298 5.91162
"ABB39" 2014 "Esox lucius" 46.5298 5.91162
"ABB39" 2010 "Perca fluviatilis" 46.5298 5.91162
"ABB39" 2014 "Perca fluviatilis" 46.5298 5.91162
"ABB39" 2010 "Rutilus rutilus" 46.5298 5.91162
"ABB39" 2014 "Rutilus rutilus" 46.5298 5.91162
"ABB39" 2010 "Scardinius erythrophthalmus" 46.5298 5.91162
"ABB39" 2014 "Scardinius erythrophthalmus" 46.5298 5.91162
"ABB39" 2010 "Tinca tinca" 46.5298 5.91162
"ABB39" 2014 "Tinca tinca" 46.5298 5.91162
"AIG15" 2010 "Abramis brama" 45.2982 2.29485
"AIG15" 2017 "Abramis brama" 45.2982 2.29485
"AIG15" 2010 "Alburnus alburnus" 45.2982 2.29485
"AIG15" 2017 "Alburnus alburnus" 45.2982 2.29485
"AIG15" 2010 "Blicca bjoerkna" 45.2982 2.29485
"AIG15" 2017 "Blicca bjoerkna" 45.2982 2.29485
"AIG15" 2010 "Cyprinus carpio" 45.2982 2.29485
"AIG15" 2017 "Esox lucius" 45.2982 2.29485
"AIG15" 2010 "Gobio gobio" 45.2982 2.29485
"AIG15" 2010 "Gymnocephalus cernua" 45.2982 2.29485
"AIG15" 2017 "Gymnocephalus cernua" 45.2982 2.29485
"AIG15" 2010 "Lepomis gibbosus" 45.2982 2.29485
"AIG15" 2017 "Lepomis gibbosus" 45.2982 2.29485
"AIG15" 2010 "Perca fluviatilis" 45.2982 2.29485
"AIG15" 2017 "Perca fluviatilis" 45.2982 2.29485
"AIG15" 2010 "Rutilus rutilus" 45.2982 2.29485
"AIG15" 2017 "Rutilus rutilus" 45.2982 2.29485
"AIG15" 2010 "Sander lucioperca" 45.2982 2.29485
"AIG15" 2017 "Sander lucioperca" 45.2982 2.29485
"AIG15" 2010 "Squalius cephalus" 45.2982 2.29485
"AIG15" 2017 "Squalius cephalus" 45.2982 2.29485
"AIG15" 2010 "Tinca tinca" 45.2982 2.29485
"AIG73" 2009 "Abramis brama" 45.554 5.79927
"AIG73" 2014 "Abramis brama" 45.554 5.79927
"AIG73" 2009 "Coregonus lavaretus" 45.554 5.79927
"AIG73" 2014 "Coregonus lavaretus" 45.554 5.79927
"AIG73" 2014 "Cyprinus carpio" 45.554 5.79927
"AIG73" 2009 "Esox lucius" 45.554 5.79927
"AIG73" 2014 "Esox lucius" 45.554 5.79927
"AIG73" 2009 "Gobio gobio" 45.554 5.79927
"AIG73" 2014 "Gobio gobio" 45.554 5.79927
"AIG73" 2009 "Lepomis gibbosus" 45.554 5.79927
"AIG73" 2014 "Lepomis gibbosus" 45.554 5.79927
"AIG73" 2009 "Perca fluviatilis" 45.554 5.79927
"AIG73" 2014 "Perca fluviatilis" 45.554 5.79927
"AIG73" 2009 "Rutilus rutilus" 45.554 5.79927
"AIG73" 2014 "Rutilus rutilus" 45.554 5.79927
"AIG73" 2009 "Salvelinus alpinus" 45.554 5.79927
"AIG73" 2014 "Salvelinus alpinus" 45.554 5.79927
"AIG73" 2009 "Sander lucioperca" 45.554 5.79927
"AIG73" 2014 "Sander lucioperca" 45.554 5.79927
"AIG73" 2009 "Scardinius erythrophthalmus" 45.554 5.79927
"AIG73" 2014 "Scardinius erythrophthalmus" 45.554 5.79927
"AIG73" 2009 "Squalius cephalus" 45.554 5.79927
"AIG73" 2014 "Squalius cephalus" 45.554 5.79927
"AIG73" 2009 "Tinca tinca" 45.554 5.79927
"AIG73" 2014 "Tinca tinca" 45.554 5.79927
"AIL02" 2010 "Abramis brama" 49.4651 3.68341
"AIL02" 2010 "Blicca bjoerkna" 49.4651 3.68341
"AIL02" 2010 "Esox lucius" 49.4651 3.68341
"AIL02" 2010 "Gymnocephalus cernua" 49.4651 3.68341
"AIL02" 2010 "Perca fluviatilis" 49.4651 3.68341
"AIL02" 2010 "Rutilus rutilus" 49.4651 3.68341
"AIL02" 2010 "Scardinius erythrophthalmus" 49.4651 3.68341
"AIL02" 2010 "Tinca tinca" 49.4651 3.68341
"ALE2B" 2008 "Gambusia affinis" 42.2989 9.4751
"ALE2B" 2016 "Gambusia affinis" 42.2989 9.4751
"ALE2B" 2008 "Oncorhynchus mykiss" 42.2989 9.4751
"ALE2B" 2016 "Oncorhynchus mykiss" 42.2989 9.4751
"ALE2B" 2016 "Phoxinus phoxinus" 42.2989 9.4751
"ALE2B" 2016 "Pseudorasbora parva" 42.2989 9.4751
"ALE2B" 2008 "Salmo trutta" 42.2989 9.4751
"ALE2B" 2016 "Salmo trutta" 42.2989 9.4751
"ALL01" 2010 "Abramis brama" 46.1537 5.44243
"ALL01" 2010 "Blicca bjoerkna" 46.1537 5.44243
"ALL01" 2010 "Esox lucius" 46.1537 5.44243
"ALL01" 2010 "Gymnocephalus cernua" 46.1537 5.44243
"ALL01" 2010 "Lepomis gibbosus" 46.1537 5.44243
"ALL01" 2010 "Perca fluviatilis" 46.1537 5.44243
"ALL01" 2010 "Rutilus rutilus" 46.1537 5.44243
"ALL01" 2010 "Sander lucioperca" 46.1537 5.44243
"ALL01" 2010 "Scardinius erythrophthalmus" 46.1537 5.44243
"ALL01" 2010 "Tinca tinca" 46.1537 5.44243
"ALL04" 2006 "Phoxinus phoxinus" 44.2334 6.70882
"ALL04" 2006 "Salmo trutta" 44.2334 6.70882
"ALL04" 2006 "Salvelinus alpinus" 44.2334 6.70882
"ALL04" 2006 "Telestes souffia" 44.2334 6.70882
"ALZ81" 2011 "Gobio gobio" 43.4105 2.22892
"ALZ81" 2017 "Gobio gobio" 43.4105 2.22892
"ALZ81" 2011 "Phoxinus phoxinus" 43.4105 2.22892
"ALZ81" 2017 "Phoxinus phoxinus" 43.4105 2.22892
"ALZ81" 2011 "Salmo trutta" 43.4105 2.22892
"ALZ81" 2017 "Salmo trutta" 43.4105 2.22892
"ALZ81" 2011 "Scardinius erythrophthalmus" 43.4105 2.22892
"ALZ81" 2017 "Scardinius erythrophthalmus" 43.4105 2.22892
"AMA10" 2011 "Abramis brama" 48.3418 4.50965
"AMA10" 2017 "Abramis brama" 48.3418 4.50965
"AMA10" 2011 "Blicca bjoerkna" 48.3418 4.50965
"AMA10" 2017 "Blicca bjoerkna" 48.3418 4.50965
"AMA10" 2017 "Cyprinus carpio" 48.3418 4.50965
"AMA10" 2011 "Esox lucius" 48.3418 4.50965
"AMA10" 2017 "Esox lucius" 48.3418 4.50965
"AMA10" 2011 "Gymnocephalus cernua" 48.3418 4.50965
"AMA10" 2017 "Gymnocephalus cernua" 48.3418 4.50965
"AMA10" 2017 "Lepomis gibbosus" 48.3418 4.50965
"AMA10" 2011 "Leuciscus leuciscus" 48.3418 4.50965
"AMA10" 2011 "Perca fluviatilis" 48.3418 4.50965
"AMA10" 2017 "Perca fluviatilis" 48.3418 4.50965
"AMA10" 2011 "Rutilus rutilus" 48.3418 4.50965
"AMA10" 2017 "Rutilus rutilus" 48.3418 4.50965
"AMA10" 2011 "Sander lucioperca" 48.3418 4.50965
"AMA10" 2017 "Sander lucioperca" 48.3418 4.50965
"AMA10" 2011 "Scardinius erythrophthalmus" 48.3418 4.50965
"AMA10" 2017 "Scardinius erythrophthalmus" 48.3418 4.50965
"AMA10" 2011 "Silurus glanis" 48.3418 4.50965
"AMA10" 2011 "Tinca tinca" 48.3418 4.50965
"AMA10" 2017 "Tinca tinca" 48.3418 4.50965
"ANG85" 2008 "Abramis brama" 46.6441 -1.06376
"ANG85" 2011 "Abramis brama" 46.6441 -1.06376
"ANG85" 2008 "Alburnus alburnus" 46.6441 -1.06376
"ANG85" 2011 "Alburnus alburnus" 46.6441 -1.06376
"ANG85" 2008 "Blicca bjoerkna" 46.6441 -1.06376
"ANG85" 2011 "Blicca bjoerkna" 46.6441 -1.06376
"ANG85" 2008 "Carassius gibelio" 46.6441 -1.06376
