"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "287"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "189"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "177"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "200"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "186"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "192"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "191"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "186"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "202"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "217"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "194"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "195"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Esox lucius" "154"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "209"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "198"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "205"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "203"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "160"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "182"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "172"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "186"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "222"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "212"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "212"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "225"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "195"
"CAR66" "2009" "274" "15276" "241685" "2.52923333" "42.7595666666667" "31" "2009.06.29" "18.00.00" "2009.06.30" "07.01.00" "1.7" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "161"
