species_code;species;size_min;size_max;stage;light;det;biof;phytob;macroph;phytopl;zoopl;zoob;fish;ref_diet;ref_ods;hypoth_ods;remark
ANG;Anguilla_anguilla;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on early diet/no info on ods
ANG;Anguilla_anguilla;20.0;324.9;2;0;0;0;0;0;0;0;1;0;Dorner2009;Dorner2009;minimum size hypoth;OK
ANG;Anguilla_anguilla;325;max;3;0;0;0;0;0;0;0;1;1;Dorner2009;NA;NA;OK
BLE;Salaria_fluviatilis;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on early diet/no info on ods
BLE;Salaria_fluviatilis;20;max;2;0;1;0;0;0;0;1;1;0;Patzner2009;NA;NA;no info on ods
LOR;Cobitis_taenia;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on early diet/no info on ods
LOR;Cobitis_taenia;20;max;2;0;1;0;1;0;1;1;1;0;Robothmam1977;NA;NA;no info on ods
CHP;Cottus_petiti;0;19;1;0;0;0;0;0;0;1;0;0;NA;NA;genus hypoth;no info/ods of cottus gobio
CHP;Cottus_petiti;19.1;max;2;0;0;0;0;0;0;0;1;0;NA;NA;NA;no info/ods of cottus gobio
LOE;Misgurnus_fossilis;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on early diet/no info on ods
LOE;Misgurnus_fossilis;20;max;2;0;1;0;0;0;0;0;1;0;Meyer2000;NA;NA;no info on ods
LOF;Barbatula_barbatula;0;21;1;0;0;0;0;0;1;1;0;0;Nunn2012;Hyslop1982;minimum size hypoth;ods = smaller size available for zoob
LOF;Barbatula_barbatula;21.1;max;2;0;0;0;0;0;0;1;1;0;Nunn2012/Hyslop1982;NA;NA;ods = smaller size available for zoob
CHA;Cottus_gobio;0;19;1;0;0;0;0;0;0;1;0;0;Nunn2012;Hyslop1982;minimum size hypoth;ods = smaller size available for zoob
CHA;Cottus_gobio;19.1;max;2;0;0;0;0;0;0;0;1;0;Nunn2012/Hyslop1982;NA;NA;ods = smaller size available for zoob
BRE;Abramis_brama;0.0;9.7;1;0;0;0;0;0;1;1;0;0;Nunn2012;Garner1996;maximum size hypoth;! Bream eats chironomids = zoob_
BRE;Abramis_brama;9.8;17.0;2;0;0;0;0;0;0;1;0;0;Nunn2012;Garner1996;minimum size hypoth;! Bream eats chironomids = zoob_
BRE;Abramis_brama;17.1;120;3;0;0;1;1;0;0;1;0;0;Garner1996;Persson1998/Specziar2009;litterature;! Bream eats chironomids = zoob_
BRE;Abramis_brama;120.1;max;4;0;0;1;1;0;0;0;1;0;Persson1998/Specziar2009;NA;litterature;eats benthic daphnia
SPI;Alburnoides_bipunctatus;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on ods/no info on early diet
SPI;Alburnoides_bipunctatus;20.0;max;2;0;0;0;0;0;1;0;1;0;Treer2006/Piria2005;NA;NA;two study with contradictory diets
ABL;Alburnus_alburnus;0;max;1;0;0;0;0;0;0;1;1;0;Nunn2012/Piria2005;NA;litterature;no ods
ASP;Aspius_aspius;0;15.0;1;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009;litterature;OK/micro crustaceans
ASP;Aspius_aspius;16.0;40.0;2;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009;litterature;OK/surface arthropods
ASP;Aspius_aspius;41.0;120.0;3;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009;litterature;OK/pellagic macro invertebrates
ASP;Aspius_aspius;121.0;max;4;0;0;0;0;0;0;0;0;1;Specziar2009;NA;NA;OK
BAF;Barbus_barbus;0;max;1;0;0;0;0;0;0;1;1;0;Nunn2012/Piria2005;NA;litterature;no ods
BAM;Barbus_meridionalis;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on ods/no info on early diet
BAM;Barbus_meridionalis;20;max;2;0;0;0;1;0;0;0;1;0;Piria2005;NA;NA;potential ods to macroph in Ad
BRB;Blicca_bjoerkna;0;60;1;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009;litterature;OK
BRB;Blicca_bjoerkna;61;100;2;0;0;0;0;0;0;0;1;0;Specziar2009;Specziar2009;litterature;OK
BRB;Blicca_bjoerkna;101;max;3;0;1;0;0;0;0;0;1;0;Specziar2009;NA;NA;OK
CAS;Carassius_carassius;0;20.0;1;0;0;0;0;0;0;1;0;0;Pentinnen1990;Pentinnen1990;litterature;Nunn2012 no ods and Pentinnen1996 ods
CAS;Carassius_carassius;20.1;max;2;0;0;0;0;0;0;0;1;0;Pentinnen1996/Nunn2012;NA;NA;Nunn2012 no ods and Pentinnen1996 ods
HOT;Chondrostoma_nasus;0;13.9;1;0;0;0;0;0;0;1;0;0;Reckendorfer2001;Reckendorfer2001;litterature;lack info on adult diet
HOT;Chondrostoma_nasus;13.9;49.9;2;0;0;0;0;0;0;0;1;0;Reckendorfer2001;Reckendorfer2001;litterature;lack info on adult diet
HOT;Chondrostoma_nasus;49.9;max;3;0;1;1;1;0;0;0;0;0;Reckendorfer2001/Nunn2012/fishbase;NA;NA;lack info on adult diet
TOX;Chondrostoma_toxostoma;0;13.9;1;0;0;0;0;0;0;1;0;0;NA;NA;genus hypoth (hypoth by Gozlan1999);no info on early diet/no info on ods/ods of nase
TOX;Chondrostoma_toxostoma;13.9;49.9;2;0;0;0;0;0;0;0;1;0;NA;NA;genus hypoth;no info on early diet/no info on ods/ods of nase
TOX;Chondrostoma_toxostoma;49.9;max;3;0;1;0;1;0;0;0;0;0;Brun1990;NA;NA;no info on early diet/no info on ods/ods of nase
CCO;Cyprinus_carpio;0;36.3;1;0;0;0;0;0;0;1;0;0;Vilizzi1998;Vilizzi1998;litterature;OK
CCO;Cyprinus_carpio;36.4;150;2;0;0;0;1;0;0;1;1;0;Specziar2009/Nunn2012;Specziar2009;minimum size hypoth;OK
CCO;Cyprinus_carpio;151;max;3;0;0;0;1;0;0;0;1;0;Specziar2009;NA;NA;OK
GOU;Gobio_gobio;0;19;1;0;0;0;0;0;0;1;1;0;Nunn2012/Garner1996;Nunn2012/Garner1996;age hypoth;ods L-J (Nunn2012)/equivalence J-size using Garner
GOU;Gobio_gobio;20;49.9;2;0;0;1;1;0;0;1;1;0;Nunn2012;Declerck2002;maximum size hypoth;OK
GOU;Gobio_gobio;50;max;3;0;0;1;1;0;0;0;1;0;Nunn2012;NA;NA;OK
ABH;Leucaspius_delineatus;0;19.9;1;0;0;1;1;0;1;1;0;0;Nunn2012/Pinder2005;Pinder2012;age hypoth/larvae hypoth;ods L-J (Pinder2005)/J-size equivalence using larvae hypoth
ABH;Leucaspius_delineatus;20.0;max;2;0;0;1;1;0;0;0;1;0;Nunn2012/Pinder2005;NA;NA;NA
VAR;Leuciscus_burdigalensis;0;20.1;1;0;0;0;0;0;0;1;0;0;NA;NA;genus hypoth;no info/genus hypoth
VAR;Leuciscus_burdigalensis;20.2;30.5;2;0;1;0;0;0;1;0;1;0;NA;NA;genus hypoth;no info/genus hypoth
VAR;Leuciscus_burdigalensis;30.6;44.5;3;0;1;0;1;0;1;0;1;0;NA;NA;genus hypoth;no info/genus hypoth
VAR;Leuciscus_burdigalensis;44.6;max;4;0;1;0;1;0;0;0;1;0;NA;NA;genus hypoth;no info/genus hypoth
