species	species_name	size_min	size_max	stage	light	det	biof	phytob	macroph	phytopl	zoopl	zoob	fish	ref_diet	ref_ods	hypoth_ods	remark
EST	Acipenser_ruthenus	0.0	Inf	0	0	0	0	0	0	0	0	1	0	Djikanovic2015	NA	NA	NA
PRO	Carassius_auratus	0.0	19.9	1	0	0	0	0	0	0	1	0	0	NA	NA	larvae hypoth	NA
PRO	Carassius_auratus	20.0	Inf	2	0	1	0	0	1	0	1	1	0	Richardson1995	NA	NA	NA
CAR	Carassius_gibelio	0.0	19.9	1	0	0	0	0	0	0	1	0	0	NA	NA	genus hypoth	NA
CAR	Carassius_gibelio	20.0	Inf	2	0	1	0	0	1	0	1	1	0	NA	NA	genus hypoth	NA
MLD	Chelon_auratus	0.0	29.9	1	0	1	0	0	1	0	1	1	0	Salvarina2018	Salvarina2018	NA	NA
MLD	Chelon_auratus	30.0	49.9	2	0	1	0	0	1	1	1	1	0	Salvarina2018	Blanco2003	NA	NA
MLD	Chelon_auratus	50.0	Inf	3	0	1	0	0	0	1	1	1	0	Blanco2003	NA	NA	NA
MLP	Chelon_ramada	0.0	49.9	1	0	0	0	0	0	1	1	1	0	Salvarina2018	Salvarina2018	NA	NA
MLP	Chelon_ramada	50.0	99.9	2	0	1	0	0	1	1	1	1	0	Salvarina2018	Blanco2003	NA	NA
MLP	Chelon_ramada	100.0	Inf	3	0	1	0	0	0	1	1	1	0	Blanco2003	NA	NA	NA
COR	Coregonus_lavaretus	0.0	29.9	1	0	0	0	0	0	0	1	0	0	Anneville2007	Tolonen1997	NA	NA
COR	Coregonus_lavaretus	30.0	219.9	2	0	0	0	0	0	0	1	1	0	Tolonen1997	Tolonen1997	NA	NA
COR	Coregonus_lavaretus	220.0	Inf	3	0	0	0	0	0	0	1	1	1	Tolonen1997	NA	NA	NA
CPA	Hypophthalmichthys_molitrix	0.0	19.9	1	0	0	0	0	0	0	1	0	0	NA	NA	larvae hypoth	NA
CPA	Hypophthalmichthys_molitrix	20.0	Inf	2	0	0	0	0	0	1	1	0	0	Tumolo2017	NA	NA	NA
GTN	Neogobius_melanostomus	0.0	19.9	1	0	0	0	0	0	0	1	0	0	?	?	NA	NA
GTN	Neogobius_melanostomus	20.0	69.9	2	0	0	0	0	0	0	1	1	0	Kornis2012/Brush2012	Kornis2012/Brush2012	NA	NA
GTN	Neogobius_melanostomus	70.0	Inf	3	0	0	0	0	0	0	1	1	1	Kornis2012/Brush2012	NA	NA	NA
GKE	Ponticola_kessleri	0.0	19.9	1	0	0	0	0	0	0	1	0	0	NA	NA	larvae hypoth	NA
GKE	Ponticola_kessleri	20.0	39.9	2	0	1	0	0	0	0	1	1	0	Stevove2016/Borcherding2013	Stevove2016/Borcherding2013	NA	NA
GKE	Ponticola_kessleri	40.0	Inf	3	0	1	0	0	0	0	1	1	1	Stevove2016/Borcherding2013	NA	NA	NA
CRI	Salvelinus_namaycush	0.0	19.9	1	0	0	0	0	0	0	1	0	0	NA	NA	larvae hypoth	NA
CRI	Salvelinus_namaycush	20.0	99.9	2	0	0	0	0	0	0	1	1	0	Roseman2020	Roseman2020	NA	NA
CRI	Salvelinus_namaycush	100.0	Inf	3	0	0	0	0	0	0	1	1	1	Roseman2020	NA	NA	NA
SCH	Scardinius_hesperidicus	0.0	21.0	1	0	0	0	0	0	0	1	0	0	NA	NA	genus hypoth	NA
SCH	Scardinius_hesperidicus	21.1	Inf	2	0	0	0	1	1	1	0	1	0	NA	NA	genus hypoth	NA
